country,lat,long,confirmed,deaths,recovered,color
Lithuania,[55.1694],[23.8813],0.7065797594409469,0.050086260344148974,0.7429854789508906,"[0.7161505217677387, 0.08043380010429231, 0.7565472101934063, 0.9999999999999998]"
Luxembourg,[49.8153],[6.1296],0.6381434794685686,0.04161638617692343,0.912926608974628,"[0.6502883620122075, 0.05942016331352753, 0.917906150306239, 0.9999999999999998]"
MS Zaandam,[nan],[nan],0.13674500069967785,0.7872398174844926,0.8300749985576876,"[0.3106637913824762, 0.42328025628026944, 0.7993205046798533, 0.9999999999999997]"
Madagascar,[-18.766947],[46.869107],0.5811168258833023,0.0574285219899806,0.9808316285523845,"[0.5804381650984112, 0.030945639653986518, 0.9803908097124827, 0.9999999999999997]"
Malawi,[-13.2543],[34.3015],0.5233117195969107,0.11064545149691593,0.8880828520068831,"[0.5244392984786077, 0.06452268063939749, 0.8983772037649222, 0.9999999999999998]"
Malaysia,[4.210484],[101.975766],0.6932386137234936,0.016110535292230627,0.8520446998341981,"[0.7038642960897395, 0.049906208345340125, 0.8705977098575373, 0.9999999999999998]"
Maldives,[3.2028],[73.2207],0.5662581986070098,0.013588271345497619,0.9647410457411569,"[0.5804381650984112, 0.030945639653986518, 0.9803908097124827, 0.9999999999999997]"
Mali,[17.570692],[-3.996166],0.5276932218924412,0.14705142749628639,0.7357272121032218,"[0.5250607222401505, 0.10359920949437172, 0.7299809831284887, 0.9999999999999998]"
Malta,[35.9375],[14.3754],0.5625520493330215,0.06584952918527924,0.8973052374592464,"[0.5529314360611085, 0.06384734847077081, 0.9185602046230437, 0.9999999999999998]"
Marshall Islands,[7.1315],[171.1845],0.0955806537319827,0.0,1.0,"[0.15804340924739566, 0.009492786083789827, 0.9767596085387725, 0.9999999999999997]"
Mauritania,[21.0079],[-10.9408],0.5697708658808812,0.09323724726078414,0.8573266678309369,"[0.5796461536471145, 0.07026528374265154, 0.849043999078598, 0.9999999999999998]"
